ids,article,advertisement,conflict_of_interest,fan_point_of_view,press_release
2423,"University of Liberal Arts Bangladesh Bengali ULAB is a private liberal arts based University in Dhanmondi, Dhaka, Bangladesh. Founded in February 2002, permission to open was received from the University Grants Commission UGC of Bangladesh in November 2003, pursuant to the Private University Act 1992. ULAB incorporates the values of Liberal Arts and Sustainability into its curricula, through its General Education Department and its Center for sustainable development CSD . ULAB is a research intensive University, with multiple research opportunities for its faculty members and students. ULAB offers degree programs in the following schools School of Arts and Humanities School of Social Science School of Business School of Science and Engineering ULAB has one non degree granting program, which runs the required courses to fulfill a liberal arts curriculum ULAB has nine centers which conduct research, run workshops and conferences promote knowledge creation, and advocate best practices. Clubs are the mainstay of co curricular life and activities. ULAB is a member of Duke of Edinburgh's Award program. Official Clubs of ULAB The Department of Media Studies Journalism of ULAB also has apprenticeship programs for the students",1,0,0,0
2424,"Liberty N' Justice LNJ is a Christian hard rock band started in 1991 by Justin Murr and Patrick Marchand with band mates Robert Earl Sliger Angie Beckett Kim and James Beckett. In 2002, Murr continued with the Liberty N' Justice name, contacting several well known artists to join him in creating the new album Welcome to the Revolution. They have continued through the past two decades, collaborating with such special guest vocalists such as Lou Gramm of Foreigner, Chris Jericho of Fozzy, Phil Collen of Def Leppard, Sebastian Bach, Leif Garrett, Michael Sweet of Stryper, C J Snare of Firehouse, Rubicon Cross, Jack Russell of Great White, Kip Winger of Winger, and various others. This roster inspired MelodicRock.com to praise LNJ for moments of greatness... with great melodies and lead vocal performances to bridge the gap between modern and traditional hard rock. Christian Metal Central raved with an impressive lineup of musicians and vocalists the like never seen on a Christian rock compilation CD... Liberty N' Justice has earned a place in...history. In 2011, LNJ released Sin, the final song recorded by Jani Lane before he died. Life Songs EP 2016 Better Than Maroon 5 EP 2017",0,0,1,0
2425,"Library Connect is a global program from Elsevier for academic, medical, corporate and government librarians. The program includes a free monthly electronic newsletter and other resources, such as webinars and symposia, and Facebook and Twitter channels. The program focuses on library best practices, issues, trends and events, and promotes Elsevier products and services. Library Connect Newsletter began publishing in 2003. Until late 2013, the free print newsletter was published three times a year. In 2014, it transitioned into a monthly electronic newsletter. There are approximately 20,000 subscribers mostly librarians in 140 countries. The newsletter accepts article proposals on its website and solicits content from librarians and information industry professionals. Its content and infographics are often shared by librarians and information specialists on blogs, news sites, listservs and via social media. Every year, Elsevier partners with libraries in various countries to coordinate Library Connect events, including seminars, webcasts, and symposia. In 2012, there were events in 20 countries. The events usually cover emerging trends and best practices within the library community, e.g., e books, mobile services, library marketing. Many Library Connect presentations are available online. In addition, Library Connect sponsors the Digital Libraries Symposium at the American Library Association midwinter meeting each year. Recent topics have included mobile technologies and how they affect academic libraries, the new role and image of academic libraries, and next gen librarians. In 2013, it launched a webinar program.",1,0,0,0
2426,"Library Lion is a New York Times best selling children's book, written by Michelle Knudsen, illustrated by Kevin Hawkes, and published in 2006 by Candlewick Press. It is suitable for children ages 47. Miss Merriweather, the head librarian, is very particular about rules in the library. No running allowed. And you must be quiet. But when a lion comes to the library one day, no one is sure what to do. There aren't any rules about lions in the library. And, as it turns out, this lion seems very well suited to library visiting. His big feet are quiet on the library floor. He makes a comfy backrest for the children at story hour. And he never roars in the library, at least not anymore. But when something terrible happens, the lion quickly comes to the rescue in the only way he knows how. Michelle Knudsen's disarming story, illustrated by the matchless Kevin Hawkes in an expressive timeless style, will win over even the most ardent of rule keepers. An affectionate storybook tribute to that truly wonderful place the library. Library Lion has won the following awards and honors",1,0,0,0
2427,"Life Education is an Australian non profit organisation whose primary objective is raising funds to help Australian children in making healthy lifestyle choices. It was founded by the Reverend Ted Noffs in 1979 above the Wayside Chapel. Their mascot is a giraffe named Healthy Harold. Loved by all Australians, he helps to educate children to be healthy. Life Education Australia also has state based offices located in Queensland, New South Wales, Victoria, South Australia, Western Australia and the Northern Territory. Delivered face to face in their mobile learning centres aka vans or caravans , their program meets the Australian Curriculum , NSW PDHPE Syllabus and the Early Years Learning Framework",1,0,0,0
2428,"Life Study is a cross disciplinary research study that will look at the health and wellbeing of thousands of children across the UK. It will collect a large amount of information on the health, growth and life factors of a new generation of children born in the UK. This study will create a large storehouse of social, medical and environmental information and linked routine health data for use by UK academics and policy communities. The information in this storehouse resource will help answer questions regarding early life development of health and disease, and physical, psychological and social well being. It is funded by the UK Department for Business, Innovation and Skills BIS , Economic and Social Research Council ESRC and Medical Research Council MRC academics from the Institute of Child Health's Paediatric Epidemiology Unit at University College London UCL are leading the study, with Professor Carol Dezateux the Director of the project. The study aims to understand how biological and environmental factors interact with a baby's early life experiences and the outcomes this has later in life. The study will cover five main research themes This will be the fifth UK birth cohort study beginning in 1946 which have followed the lives of children from birth to adult life. As was the case with these earlier studies, Life Study will provide a wide range of new information into the health, growth and life factors of this new generation of UK children. The Economic and Social Research Council ESRC and the Medical Research Council MRC discontinued Research Councils funding for Life Study in early 2016 due to the challenges encountered in recruiting participants.",0,0,0,1
2429,"Yaron Lifschitz is an Australian director most notable for his involvement in the circus arts. He has directed over 60 productions including mainstage theatre, physical theatre, large scale events and opera. His work has been seen in thirty two countries, across six continents by over 500,000 people. He was born in South Africa into a family of Eastern European origin. In 1991 he graduated from the Directing course at National Institute of Dramatic Art NIDA in Sydney, Australia where he was the youngest director ever accepted into its prestigious graduate directors course. He is also a graduate of the University of New South Wales. He was founding Artistic Director of the Australian Museums Theatre Unit, Head Tutor in Directing at Australian Theatre for Young People and has been a regular guest tutor in directing at NIDA since 1995. He is currently the Artistic Director of Circa formerly the Rock n Roll Circus Ensemble in Brisbane. In 2002 he was instrumental in founding the Circa Brisbane Training Centre.",0,1,0,1
2430,"Liftra is an engineering company specialized in lifting and transport equipment for wind turbines. Since the start up in 2003 the company has carried out over 500 projects its most extensive development project has been a self hoisting add on crane for wind turbines in the 4MW class, that is able to replace 19 Ton components. The main office is in Aalborg, Northern Jutland, Denmark with approx. 20 engineers. Offices in Germany, USA, Spain and China.",1,1,0,0
2431,"Lightbank is a financial organization that specializes in making venture capital investments in disruptive technology companies in the United States including seed investments, Series A round and late stage investments. It combines investment with guidance and direct involvement with the companies it invests in. Unlike most such companies, it does not concentrate on Silicon Valley, but has a presence across the United States. It was founded by Brad Keywell and Eric Lefkofsky. It is headquartered in Chicago and it has made investments in companies in Chicago, New York City, Omaha and the Bay Area. Lightbank has invested in a number of companies, including the deal of the day website Groupon. Lightbank's Eric Lefkofsky and Brad Keywell were two of the original co founders, along with Andrew Mason of Groupon. Other Lightbank investments include Sprout Social, Snapsheet, Belly, Boom Technology, Fiverr, , Fooda, SpotHero, Tempus, Udemy, test preparation service BenchPrep, Qwiki, and HighGround. Lefkofsky was a co founder of Lightbank, though he became 'Special Advisor' in 2014 2015 during his tenure as CEO of Groupon. He then returned to Lightbank as managing partner in November 2015 after stepping down as CEO of Groupon. Paul Lee, a general partner at Lightbank, left the venture fund in November 2014 to start Roniin, a venture capital firm which has a mentor model where veteran entrepreneurs mentor fresh ones and Roniin provides capital to increase chances of startup success. He subsequently re branded Roniin to Builders Studios and launched BuildersVC. Victor Pascucci III was announced as managing partner of Lightbank in February 2017. This move allowed Lefkofsky and Keywell to step back and focus on their growing start up companies. Pascucci was most recently a partner at Munich Re, a German reinsurance company.",1,0,0,0
2432,"LIN Digital is an online advertising and media services company based in Austin, Texas. In 2008 it was ranked No. 1,055 in the Top 5000 Fastest Growing Private Companies in the U.S. by Inc Magazine. LIN Digital's premium display ad network is among comScore's Top 30 Ad Networks according to comScore rankings. It aggregates traffic from thousands of top tier online publishers reaching up to 100 million unique visitors per month. The company was started by Jon Flatt and Aaron M Welch in 2002 as an SEM company. As the company grew it attracted the attention of Red McCombs Enterprises. In 2005 Flatt and Welch partnered with Red McCombs, and at that time the company name became Red McCombs Media. In 2007 Red McCombs Media acquired MediaEngine, co founded by Michael Magruder and Scott Friesen, to complement their technical capabilities. Since then the company has increased their service offerings to include display advertising, SEO, SEM, SMS mobile marketing and limited web application services. The company continues to grow, and in 2008 has been recognized as one of Inc. Magazine's 5000 Fastest Growing Private Companies in America and Austin's 50 fastest growing companies by the Austin Business Journal. On October 2, 2009, LIN TV acquired Red McCombs Media. As part of this transaction, Red McCombs Media assumed the legal name Primeland Television dba RM Media, though plans to continue to operate under the Red McCombs Media brand name. In January 2013, the name was changed to LIN Digital.",1,0,0,0
2433,"Linc Pen Plastics Limited is an Indian stationery manufacturing company based in Kolkata, India. Linc Pen manufactures and markets various writing products. Linc Pen Plastics Limited is listed on NSE, BSE and CSE. Linc Pen was established in 1976 by Mr. Soorajmal Jalan and is currently headed by Mr. Deepak Jalan. Linc Pen Plastics Limited has an exclusive license to distribute and market uni ball products in India. It also sold Lamy Cruiser pens in India. Linc Pen Manufactures markets Gel Pen, Ball Pen, Fountain pen, Stationery, Notebook Files, Folders. Office Linc Just Linc are the Direct retail front superstore for Linc Pen office stationery. Linc Pen popular brands are Linc Pens, Uniball, Markline, Klipper, Lemon, Cruiser. Linc Pen has been constantly associated with Indian Premier League, Kolkata Knight Riders, Deccan Chargers, Rajasthan Royals, Pune Warriors India, Sunrisers Hyderabad. Linc Pen Plastics Limited has been endorsed by prominent personalities from Bollywood, namely Shahrukh Khan, Katrina Kaif World cricket's Shakib Al Hasan. Linc had the following varieties of pens in current manufacturing Gel pens 1 Linc ocean gel pen 2 Linc Gellix gel pen 3 Linc glycer LV 4 Linc Racer 5 Linc Trim gel 6 Linc Pentonic 7 Linc Geltonic 8 Linc Executive Gel 9 Linc Maxo ball pen 10 Linc Maxx Gel",1,0,0,0
2434,"Lindquist Vennum LLP was a law firm of approximately 170 attorneys that provided corporate finance, transactional and litigation services for clients from offices in Minnesota, Colorado, and South Dakota. The firm was formed in 1968 when Lindquist, Magnuson Glennon combined with Vennum, Newhall, Ackman Goetz. As of January 1, 2018, the firm merged with and took the name of Ballard Spahr. The firm's Corporate and Transactional Services department included the following practices The firm's Litigation and Dispute Resolution department included the following practices Industry and Specialty Teams at the firm included Since 1997, Lindquist Vennum has achieved 100 percent pro bono participation by its partners, associates and paralegals. In 2007, the firm was first to be honored for its pro bono efforts by the Minnesota Judicial Council, a newly formed policy making body of the Minnesota Judicial Branch. In 2013, the firm was named to The National Law Journal's Pro Bono Hot List.",1,0,0,0
2435,"Linfox is a logistics and supply chain company established in Australia by Lindsay Fox in 1956. The company started with one truck operated by Fox. With the acquisition of Armaguard from Mayne Group in 2003 and FCL in 2006, it is now the largest privately owned supply chain solutions company in Asia Pacific. Linfox Logistics operates 3.2 million square metres of warehousing and 5,000 vehicles across 10 countries, and employs more than 23,000 people in Australia, New Zealand and Asia. Linfox specialises in complex supply chain design, IT systems integration, distribution operations, linehaul, freight forwarding, and warehouse management. Across Asia Pacific, Linfox provides logistics services to the worlds largest miner who , delivers 4.5 billion litres of fuels, 15 million pallets of goods to retailers and serves nine of the Asia Pacific region's top ten Fast Moving Consumer Goods producers. Linfox operates in countries including Australia, New Zealand, Indonesia, Thailand, Laos, Malaysia, Vietnam, China, Hong Kong and India. Linfox is the second largest road freight company in Australia. Linfox operates Avalon and Essendon airports, both near Melbourne. Linfox is involved with industry associations including the Australian Logistics Council, the Australian Trucking Association, the Australian Road Transport Industrial Organisation, the Australian Steel Institute, the Plastics and Chemicals Industries Association.",1,0,0,0
2436,"Link Labs is an American company based in Annapolis, Maryland, that develops computer network technology for business and industrial customers. Link Labs technologies are marketed for Internet of things IoT applications and devices. The company was founded in 2014 by engineers from the Johns Hopkins Applied Physics Laboratory. In August 2015, it announced a venture capital investment of 5.7 million. The investment round was led by TCP which and joined by the Maryland Venture Fund, Blu Venture, Inflection Point Partners, and others. Symphony Link is a low power, wide area wireless network LPWAN that allows for monitoring and two way communication with sensor devices. Link Labs said it can support up to 250,000 endpoints on each gateway and ranges up to 7 miles. Additionally, Symphony Link supports upgrading firmware over the air and allows for sending and receiving compressed bidirectional message acknowledgements. AirFinder is a product division of Link Labs and a real time location system RTLS . It utilizes open source iBeacon and Bluetooth Low Energy BLE technology to track assets and individuals. According to Link Labs, AirFinder is used to improve efficiencies through location tracking in healthcare organizations, manufacturing plants, and transport hubs.",1,0,0,0
2437,"The Linux Test Project usually referred to as LTP is a body of regression tests and conformance tests designed to confirm the behavior of the Linux kernel as well as glibc. The LTP is joint project started by SGI, developed and maintained by IBM, Cisco, Fujitsu, SUSE, Red Hat and others. The project source code was migrated to git and is available at GitHub at In Simple English terms, The Linux Test Project is a group aimed at testing and improving Linux. The goal of the LTP is to deliver a suite of automated testing tools for Linux as well as publishing the results of tests they run.",1,0,0,0
2438,"Mike Lipe was a master guitar luthier, known for his custom built electric guitar company, Lipe Guitars U.S.A. He worked for over 35 years as a luthier, and has built guitars for many notable players including Brian May, Steve Vai, Joe Satriani, Michael Angelo Batio, and Carlos Santana. He ran a boutique guitar company called Lipe Guitars U.S.A. in Los Angeles, California. Michael Anthony Lipe, Born 11 6 48, Burbank CA. Died 12 27 2018 at the age of 70 Father to Michelle Lipe, Burbank CA. Master Luthier from 1975 to present. Owner of Lipe Guitars USA, CA Musician Guitar Vocals Bands The Mother Blues Band Mike Lipe began building guitars in the mid seventies while working at a music store in Los Angeles. Eight years later, Lipe left to work for guitar manufacturer Mighty Mite. In 1983 he started his own business and became L.A.'s original Guitar Doctor. After six years of building and customizing guitars for some of L.A.'s most respected musicians, Lipe's business was purchased by Ibanez in 1989. While with Ibanez, Lipe chosen among many other expert luthiers to create a custom guitar shop on the West Coast, in which he was the master builder of electric guitars for several prominent guitarists such as Joe Satriani and Steve Vai. After leaving Ibanez, Mike went to Yamaha, where he worked for two years. Over the next several years, Lipe worked for several guitar manufacturers including Hofner and Fender. During this time, Mike Lipe created and customized guitars for many internationally renowned electric guitarists and bassists. Owner and Master Luthier of Lipe Guitars USA founded in 2000. Located in Los Angeles County, California.",1,0,0,0
2439,"LISAA School of Art Design, is a French private institution for applied art education founded in 1986. Located in Paris, Rennes, Nantes, Strasbourg, Bordeaux and Toulouse. The school is recognized by the French Ministry of Culture and communication. Different diplomas are offered in animation, video games, interior architecture, design, graphical design and fashion. 1986 Michel Glize, architect and entrepreneur founds the school LISAA. 2012 The school is sold to Galileo Global Education. The two main subjects in the academic curriculum are animation and video games, interior architecture and design, graphical design and fashion or applied arts in general. Some programs last five years bac 5 some are shorter bachelors, BTS, MANAA . Two one year foundation courses are offered at LISAA Various master and bachelor diplomas exist for the fashion industry Various master, bachelor diplomas are offered in the interior architecture and design field Various bachelor, master diplomas are offered in the animation and video game field Various bachelor, master diplomas are offered in the graphic and motion design field LISAA has developed academic partnerships with various schools in Europe or on the American continent The French student magazine l'Etudiant and Le Figaro Etudiant regularly rank LISAA in the top schools in France in various fields of applied arts. LISAA School of Art Design is a member of the international association CUMULUS. For the design course student exchanges are made with other schools of the international association of art design universities CUMULUS. The school has 10 students of foreign origin. The school was bought by the investment fund Galileo Global Education.",1,0,0,0
2440,"Lisieux Matriculation Higher Secondary School is a high school in Coimbatore, Tamil Nadu, India, founded in 1972 by Carmelites of Mary Immaculate of the Preshitha Province and owned by the Little Flower Education Society. It is a boys only school with ISO 9001 2008 certification. The school provides coaching for basketball, volleyball, badminton, skating, chess, table tennis, carrom and conducts intra school competitions in those sports. The school conducts a major interschool basketball competition every year with the name 'St. Kuriakose elias Chavara south Indian interschool basketball tournament'. It was inaugurated by F1 racer Narain Karthikeyan. Students from Tamil Nadu, Karnataka and Kerala participate in this tournament. Statue of Jesus in Lisieux school from outside View of main gate from entrance of Lisieux main block on a rainy day A tree in Lisieux that has been in existence for almost 30 years Statue of St.Therese of Lisieux Main block Entrance to main block Classroom in Lisieux school www.lisieuxmhss.com",1,0,0,0
2441,"This is a list of bluegrass music festivals which have Wikipedia articles or are otherwise verified by an independent, reliable, published source. This list may have some overlap with the umbrella topic list of folk festivals, and more complete overlap with list of country music festivals. Bluegrass music is a form of American roots music, and a subgenre of country music. Bluegrass was inspired by the music of Appalachia. It has mixed roots in Irish, Scottish, Welsh, and English traditional music, and also later influenced by the music of African Americans through incorporation of jazz elements. Dicontinued sinced 2016 Huck Finn Jubilee and Bluegrass Festival 2009 MerleFest Crowd during Avett Brothers Performance Bluegrass fans in the concert area at the 2014 Tottenham Bluegrass Festival Vandalia Gathering Mount Airy Fiddlers Convention Walnut Valley Festival 2007 Telluride BlueGrass Festival Tamworth Country Music Festival in Australia European World of Bluegrass Bluegrass Beeg 2013",1,0,0,0
2442,"This is a list of actors who have appeared in Carry On films. The following actors are considered to be the core members of the Carry On team This section looks at actors who starred or had at least one significant supporting role in at least one Carry On film plus at least one other supporting role, and those actors who appeared in at least four or more films in small or supporting roles. In alphabetical order",0,0,1,0
2443,"This is a list of computer aided technologies CAx companies and their software products. Software using computer aided technologies CAx has been produced since the 1970s for a variety of computer platforms. This software may include applications for computer aided design CAD , computer aided engineering CAE , computer aided manufacturing CAM and product data management PDM . The list is far from complete or representative as the CAD business landscape is very dynamic almost every month new companies appear, old companies go out of business, companies split and merge. Sometimes some names disappear and reappear again. Production Milling Advanced Milling FreeForm Machining Production Turning Advanced Turning Advanced Wire EDM Advanced Fabrication Acquired, orphaned, failed or rebranded. Developed by companies for their own use. Some are no longer used as the organizations are now using commercial systems.",1,0,0,0
2444,"Digimon Adventure, Digimon Adventure 02, Digimon Adventure tri. and Digimon Adventure Last Evolution Kizuna, anime series produced by Toei Animation for the Digimon franchise, are centered on the DigiDestined , Erabareshi Kodomotachi , a group of children chosen to protect the Digital World. Each child is partnered with a Digimon and use a Digivice to help them Digivolve into stronger forms. The main DigiDestined cast was designed by Katsuyoshi Nakatsuru. Producer Satoru Nishizono and the staff used a name analysis software to decide on the characters' names, using kanji combinations that related to luck. For Digimon Adventure tri., director Keitaro Motonaga found that some parts of developing the characters were difficult to control due to the characters' strong personalities , but the staff had rebuilt the characters by taking account of their personal growth while retaining their original personalities. A new group of DigiDestined, in addition to T.K. and Kari, were made into the new main cast for Digimon Adventure 02, consisting of Davis, Yolei, Cody, and later Ken. The Dark Masters are a group consisting of four Mega level Digimon. In Digimon Adventure tri., the Dark Masters are revealed to have made a previous attempt to kill the first DigiDestined but are defeated after Tapirmon sacrificed himself so his fellow Digimon can digivolve into the Digimon Sovereigns. In 1999, the Dark Masters take advantage of the DigiDestined's absence by sealing away the Sovereigns and converting the Digital World into Spiral Mountain which is divided into four territories. As the DigiDestined learn, each Dark Master's defeat causes their domain to dissolve and be restored to its original form.",0,0,1,0
2445,This is a list of cleft lip and palate organizations around the world.,1,0,0,0
2446,Fictional characters called The One or related include In books In film In television,0,0,1,0
2447,"This is a list of National Trust land in England. This is land that is looked after by the National Trust and includes coast, countryside and heritage landscapes. This does not include NT properties, unless they contain significant estate land. The list is subdivided using the National Trust's own system which divides England into nine regions. These are not the same as the official Regions of England. The counties of England are divided up as follows Devon and Cornwall offer a complete spectrum of places of historic importance and outstanding natural beauty cared for by the National Trust including In the East Midlands you can explore magnificent stretches of countryside ranging from the dramatic Peak District to the parkland, heaths and woods of Clumber Park. Greenhalgh Castle Garstang Castle , Garstang. The National Trust owns and cares for 29,000 hectares within this region. TV551958 The National Trust looks after lots of unspoilt countryside in the Thames Solent region, including miles of beautiful coastline on the Isle of Wight. 4 SU293866 SU237972 Based in the heart of England, the National Trust protects over 8,000 hectares of land in Warwickshire, Worcestershire, Shropshire, Staffordshire, Herefordshire and the West Midlands. The National Trust cares for and protects large areas of countryside throughout Wessex.",1,0,0,0
2448,"Star Trek Technical Manuals are a number of both official and fan produced works detailing the technology of the fictional Star Trek universe most pertain to starship design, though others target equipment used in the various Star Trek television series and films. Franz Joseph Schnaubelt published the original Star Fleet Technical Manual in 1975 since then other manuals have been created by fans and professional artists alike to chronicle the increasing variety of both canon and noncanon vessels and gear. Trek fan Shane Johnson created the official Pocket Books works Mr. Scott's Guide to the Enterprise and Worlds of the Federation after making his own self produced blueprints. Two manual creators moved from making blueprints to helping shape the look of the shows themselves. Rick Sternbach became an official illustrator for the franchise's first theatrical release, and later worked for the series Next Generation, Deep Space Nine and Voyager he went on to contribute to the Next Generation and Deep Space Nine technical manuals from Pocket Books. Geoffery Mandel, who helped create Pocket Books's interstellar reference work Star Trek Star Charts, worked as scenic artist on the Voyager and Enterprise series as well as the film Star Trek Insurrection. For details on out of universe reference books see List of Star Trek reference books. The following list is incomplete.",0,0,1,0
2449,"The Temp Life is an American comedy web series about a spoiled executive temping his way back up the corporate ladder. The series was created and produced by Wilson Cleveland who stars as Nick Trouble Chiapetta written by Wilson Cleveland seasons 1 3 , Yuri Baranovsky season 4 , Tony Janning and Gabe Uhr season 5 and directed by Evan Ferrante seasons 1 3 , Jato Smith and Andrew Y. Park seasons 4 5 . Overall, 43 episodes of The Temp Life were released over the course of five seasons. The first season consisted of five 3 5 minute long episodes and debuted November 29, 2006 on YouTube, Blip, MySpace, Daily Motion and Facebook. In January 2010, The Temp Life became available on demand in two million U.S. hotel rooms via LodgeNets DoNotDisturbTV hotel room network. The Temp Life added an average of 85 more viewers with each season and had reached over 18 million upload views when it was announced in July 2010 that the series was renewed for a fifth season. The fifth and final season premiered December 6, 2010 on My Damn Channel, YouTube, iTunes, MSN Video and VOD platforms like Roku and Boxee set top boxes and Verizon Fios. series season series season series season series season series season",1,1,0,0
2450,Following is a list of think tanks in Singapore.,1,0,0,0
2451,"This is inferred from two references ... an anonymous early 9th century Kashmiri Hindu king ... wrote a letter to Amir Abdullah bin Umar bin Abdul Aziz of Mansura, requesting him to dispatch a scholar to his court who could explain the tenets of the Islamic shariah in the language al Hindia . The 9th century Persian traveller Buzurg bin Shahryar mentions in his travelogue, Ajaib ul Hind , that the Hindu king of Mehroke in Kashmir had commissioned the preparation of a Kashmiri translation of the Quran. later translated into various other languages including English. in chronological order of publication In chronological order of publication There are at least seven complete translations of Qur'an There are at least three complete translations of Qur'an There are numerous translations of the Qur'an in Pashto. Some of the most famous are listed below There are more than 60 complete translations of Qur'an in Persian and many partial translations. In the past some Tafsirs which had included Qur'an were translated like translation of Tafsir al Tabari in 10 CE. There are more than twenty translations of Quran in Saraiki. At least 7 complete translations in Swahili have appeared and dozens of partial translations. Over fifty translations of the Koran have appeared in Turkish. Although it has been claimed that the Koran was first translated into Turkish on the instructions of Kemal Ataturk, other sources claim that Turkish translations have existed since the beginning of the Muslim era Following translations are known to exist, but need more information, such as publisher, title, year of publication etc.",1,0,0,0
2452,"Listary is a desktop search utility for Windows that can search for files on a computer. It works with items in File Explorer, Task Manager, Registry Editor, Windows Desktop, and Open... or Save... dialog boxes. Listary is licensed free of charge for personal use.",1,1,0,0
2453,"The Listel Hotel is a hotel located in the downtown area of the Canadian city of Vancouver, British Columbia. The hotel has 129 rooms, and is noted for its relationships with the University of British Columbia's Museum of Anthropology, the Buschlen Mowatt Fine Arts Gallery and The Vancouver International Sculpture Biennale. The hotel displays art on loan from each of these partner entities and has created a constantly evolving collection of international and First Nations art. The hotel is a leader in sustainability in the Canadian hotel community. It was an inaugural participant in both the City of Vancouver's Corporate Climate Leader and Tourism Vancouver's Tourism Ambassador for Conservation programs. In addition to 20 solar panels and a state of the art heat capture program reducing the hotel's natural gas use by 30 percent annually , many water reduction and air quality programs and an ambitious bulk amenities program, the hotel has also been 100 percent zero waste to landfill since 2011. Forage, the hotel's restaurant, is a showcase in sustainable operations and is an active member of both the Green Table Network and the Vancouver Aquarium's Ocean Wise seafood program. The restaurant's small plate menu is locally sourced. Coordinates 491713N 1230746W 49.28706N 123.12932W 49.28706 123.12932",1,0,0,0
2454,"Listen Fundraising was a UK based telemarketing company that conducts telephone fundraising, mobile fundraising, and legacy fundraising campaigns on behalf of charitable and non charitable institutions. Listen began operations on December 1, 2008. The company started out as a small operation of three Fundraisers conducting telephone based fundraising campaigns. It now has two London based offices calling across the UK and abroad. The company has raised 150 million for its clients across the UK. The company has run campaigns for a number of high profile charities, universities and other organisations in the UK and abroad. It is a Corporate Supporter of the Institute of Fundraising. It has also made a sizeable donation to the Showcase of Fundraising and Innovation and Inspiration, with a view to helping this global fundraising resource more accessible. In August 2019, the company announced its closure. Listen Fundraising has gained public recognition for the quality of its work and received the Best Use of Telephone Award at the Institute of Fundraising National Awards in both 2012 and 2013. In December 2013 Listen gained its first awards outside of the charity sector, receiving a Gold award from the Direct Marketing Association DMA in the Best Media Planning category and a Silver award in the Best Charity Campaign category. It also had a Highly Commended campaign at the Third Sector Excellence Awards in September 2013 and was shortlisted for the Best Telephone Fundraising Agency at the Partners in Fundraising Awards in 2014.",1,0,0,0
2455,"Lite C is a programming language for multimedia applications and personal computer games, using a syntax subset of the C language with some elements of the C language. Its main difference to C is the native implementation of multimedia and computer game related objects like sounds, images, movies, GUI elements, 2D and 3D models, collision detection and rigid body physics. Lite C executables are compiled instead of interpreted. Lite C runs on 32 bit and 64 bit Windows XP or Vista operating systems. Lite C claims to allow very fast programming with a minimum of code, and easy access to non programmers. For this, the developer provides a 25 lesson workshop that especially deals with the game and multimedia related objects of the language. Lite C supports the Windows API and the Component Object Model COM therefore OpenGL and DirectX programs can directly be written in lite C. It has integrated the free A8 rendering engine. The lite C language and compiler was originally developed in 2007 by Conitec, Inc. for Atari, Inc., with the focus on creating computer games by non programmers. Since 2010, lite C is also used for defining automatic trade algorithms in day trading software. Lite C has the following differences to standard C Lite C supports rudimentary classes and function overloading, but does not support advanced language concepts such as inheritance, polymorphism, or operator overloading. The following lite C program prints Hello World , then plays a movie file and exits. The following lite C program opens a 3D window and displays a spinning sphere",1,0,0,0
2456,"LiteFoot ATV rubber tracks are a track conversion system for ATVs manufactured by Mattracks Inc. Tracks are bolted in place of tires. Mattracks launched the LiteFoot ATV track conversion systems in 2002, adding to the Mattracks rubber track conversion product line up.",1,0,0,0
2457,"Little Amerricka is an amusement park located in Marshall, Wisconsin, USA. Little Amerricka features the 16 in 406 mm gauge Whiskey River Railway, a 1 3 size railroad operating an array of steam and diesel engines and proto typical freight and passenger cars with over 3 miles of track on the ground. The line begins at the amusement park and wanders over 2 miles through scenic trees, past the wildlife pond area and then crosses the Whiskey river. Passengers will hear the whistle blow as they go through the tunnel, past the locomotive shops including roundhouse and turntable, over bridges and around a lake. The location is also the home of Merrick Light Railway Equipment, where 1 3 size steam, diesel, and car equipment are still being built. Other attractions include 24 rides, including scrambler, tilt a whirl, bumper cars, Ferris wheel, blow up slides, monorail, haunted house, roller coasters, go karts, an 18 hole miniature golf course, and more.",1,0,0,0
2458,"Live from the Sun is a live album released in 2000 by the American heavy metal band Dokken. This album captures the reunited Dokken minus guitarist George Lynch at the Sun Theater in Anaheim, CA, on November 4 1999, running through a live set of mostly greatest hits plus two songs from the then recently released Erase the Slate album. A video of the performance was also released both on VHS and DVD formats.",1,0,0,0
